4.34,2.52,2.22
3.88,2.72,2.58
4.14,2.63,2.46
4,2.64,2.48
3.97,2.54,2.32
4.16,2.56,2.49
3.82,2.28,2.21
4.42,2.65,2.37
3.9,2.51,2.4
